Term,Tone,Austin Vote,Dups Check,Special Mark
! am a hacker,Negative,Neutral,,X
a good example,Neutral,Neutral,,
above and beyond,Positive,Positive,,
account at a glance,Neutral,Neutral,,
accurate descriptions,Positive,Positive,,
addressing the issue,Negative,Neutral,,X
again and again,Negative,Negative,,
allows me to download,Neutral,Neutral,,
always listen,Positive,Positive,,
always patient,Positive,Positive,,
always ready,Positive,Positive,,
answer can be found,Neutral,Neutral,,
apologize,Negative,Neutral,,X
appears,Neutral,Neutral,,
appreciate,Positive,Positive,,
appreciated,Positive,Positive,,
appropriately,Neutral,Neutral,,
as stated previously,Neutral,Neutral,,
awesome,Positive,Positive,,
back and forth,Negative,Negative,,
backlog,Negative,Negative,,
bandwidth,Negative,Negative,,
billings,Neutral,Neutral,,
blocked,Negative,Negative,,
breach,Negative,Negative,,
can be a winning experience,Neutral,Negative,,X
can be addressed,Neutral,Negative,,X
can you send,Neutral,Neutral,,
cannot afford,Negative,Negative,,
capable,Positive,Positive,,
challenge,Negative,Negative,,
check,Neutral,Neutral,,
cheerfully,Positive,Positive,,
Christian Science Daily Lift,Neutral,Neutral,,
Christian Science Sentinel,Neutral,Neutral,,
Committee on Publication,Neutral,Neutral,,
competent,Positive,Positive,,
conduct themselves,Neutral,Neutral,,
confident,Positive,Positive,,
confirmation,Neutral,Neutral,,
confirming,Neutral,Neutral,,
confusion,Negative,Negative,,
congrats,Positive,Positive,,
congratulations,Positive,Positive,,
consistency,Neutral,Positive,,X
contacting,Neutral,Neutral,,
could conduct,Negative,Neutral,,X
could have gotten,Negative,Negative,,
could help me,Neutral,Negative,,X
couldn't do my job without,Positive,Neutral,,X
courteous,Positive,Positive,,
courteousness,Positive,Positive,,
courtiousness,Positive,Positive,,
create excessive,Negative,Negative,,
credit card information,Neutral,Neutral,#REF!,
customized,Neutral,Positive,,X
daily thought,Neutral,Neutral,,
dailylift,Neutral,Neutral,,
devote a bit more time,Negative,Negative,,
devote more time,Negative,Negative,,
devoted,Positive,Positive,,
did not know what they were doing,Negative,Negative,,
didn't,Negative,Negative,,
didn't update,Negative,Negative,,
difficulty,Negative,Negative,,
discipline,Positive,Negative,,X
disciplined recordkeeping,Positive,Neutral,,X
disconnect,Negative,Negative,,
docked,Negative,Neutral,,X
does not require,Neutral,Positive,,X
doesn't,Neutral,Neutral,,
doesn't open,Negative,Negative,,
doing a search,Neutral,Neutral,,
drives up,Negative,Negative,,
duration times,Neutral,Negative,,X
easy,Positive,Positive,,
easy to follow,Positive,Positive,,
effective,Positive,Positive,,
empathetic,Positive,Positive,,
ended up,Negative,Negative,,
endure,Negative,Negative,,
Enterprise,Negative,Negative,,
error message,Negative,Negative,,
exceed the SLA,Negative,Negative,,
exceeded SLA,Negative,Negative,,
exceeding the SLA,Negative,Negative,,
excellent,Positive,Positive,,
excellent attitude,Positive,Positive,,
exceptional,Positive,Positive,,
excessively,Negative,Negative,,
expected time,Neutral,Neutral,,
extra mile,Positive,Positive,,
fantastic,Positive,Positive,,
faster in responding,Positive,Negative,,X
favorite people,Positive,Positive,,
feedback,Neutral,Neutral,,
flawed,Negative,Negative,,
follow-through,Positive,Neutral,,X
forecasting,Neutral,Neutral,,
forgotten,Negative,Negative,,
friendly,Positive,Positive,,
fun to work with,Positive,Positive,,
generous,Positive,Positive,,
get up to speed,Neutral,Negative,,X
getting up to speed,Neutral,Negative,,X
glitchy,Negative,Negative,,
goes out of their way,Positive,Positive,,
gone down,Negative,Negative,,
gracious,Positive,Positive,,
graciously,Positive,Positive,,
great,Positive,Positive,,
greater granularity,Positive,Neutral,,X
had to discontinue,Negative,Negative,,
hard time,Negative,Negative,,
hard work,Positive,Negative,,X
hardship,Negative,Negative,,
have been waiting,Negative,Negative,,
have not received,Negative,Negative,,
have yet to receive,Negative,Negative,,
haven't been able to,Negative,Negative,,
having more,Negative,Negative,,
help,Positive,Positive,,
highlight,Positive,Neutral,,X
historical knowledge,Neutral,Neutral,,
hoping,Neutral,Neutral,,
hurried,Negative,Negative,,
I have called,Neutral,Neutral,,
I've written,Neutral,Neutral,,
impacted,Negative,Negative,,
implications,Negative,Negative,,
improve duration times,Positive,Positive,,
improve everyone's productivity,Neutral,Positive,,X
improve productivity,Neutral,Positive,,X
in the way of,Negative,Negative,,
in-depth understanding,Neutral,Neutral,,
inconvenienced,Negative,Negative,,
inconvenient,Negative,Negative,,
inexperience,Negative,Negative,,
inferior,Negative,Negative,,
inquiry,Neutral,Neutral,,
inspire,Positive,Positive,,
inspiring,Positive,Positive,,
investigated,Neutral,Neutral,,
invoice amount,Neutral,Neutral,,
irrelevant,Negative,Negative,,
irritating,Negative,Negative,,
issues,Negative,Negative,,
joy to work with,Positive,Positive,,
joyful,Positive,Positive,,
JSH-Online,Neutral,Neutral,,
junk mail,Negative,Negative,,
keep you on hold,Negative,Negative,,
key problems,Negative,Negative,,
kind,Positive,Positive,,
knowledgeable,Positive,Positive,,
left straddling,Negative,Negative,,
like to subscribe to,Neutral,Positive,,X
like to understand,Neutral,Neutral,,
little vague,Negative,Negative,,
look forward to,Neutral,Neutral,,
love,Positive,Positive,,
love The Monitor,Positive,Positive,,
love working with,Positive,Positive,,
loving,Positive,Positive,,
many days,Negative,Negative,,
many thanks,Positive,Positive,,
meaningless,Negative,Negative,,
message needs to disappear,Negative,Negative,,
might be helpful,Neutral,Negative,,X
missed opportunity,Negative,Negative,,
more helptful than others,Negative,Negative,,
more palatable,Negative,Negative,,
most important metrics,Neutral,Neutral,,
need better wording,Negative,Negative,,
need to get better,Negative,Negative,,
need to send,Negative,Negative,,
needs some work,Negative,Negative,,
needs work,Negative,Negative,,
negatively,Negative,Negative,,
never call,Negative,Negative,,
never know,Negative,Negative,,
never to call,Negative,Negative,,
newer,Neutral,Positive,,X
no answer,Negative,Negative,,
no clear plan,Negative,Negative,,
no more,Negative,Negative,,
no reasonable explanation,Negative,Negative,,
not always,Neutral,Negative,,X
not available,Negative,Negative,,
not consistently,Negative,Negative,,
not getting,Negative,Negative,,
not helpful,Negative,Negative,,
not operating,Negative,Negative,,
not possible,Negative,Negative,,
not received,Negative,Negative,,
not urgent,Neutral,Neutral,,
not yet,Negative,Negative,,
nothing came up,Negative,Negative,,
noticed a debit,Negative,Negative,,
number of occasions,Neutral,Neutral,,
odd,Negative,Negative,,
offer assistance,Neutral,Neutral,,
on hold,Negative,Negative,,
opportunities,Positive,Positive,,
out of date,Negative,Negative,,
out of the box,Neutral,Positive,,X
outstanding,Positive,Positive,,
patient,Positive,Positive,,
perseverance,Positive,Positive,,
pleasant,Positive,Positive,,
pleasure,Positive,Positive,,
previously,Neutral,Positive,,X
priorities,Positive,Positive,,
problematic,Negative,Negative,,
problems,Negative,Negative,,
professional,Positive,Positive,,
projected time,Neutral,Neutral,,
prompt,Positive,Positive,,
putting off projects,Negative,Negative,,
quick to respond,Positive,Positive,,
quicker,Positive,Neutral,,X
really appreciate,Positive,Positive,,
really need,Negative,Negative,,
refining the system,Neutral,Negative,,X
requesting to know,Neutral,Neutral,,
research,Neutral,Neutral,,
researching,Neutral,Neutral,,
resolve,Neutral,Neutral,,
response,Neutral,Neutral,,
responsive,Positive,Positive,,
rushing,Negative,Negative,,
satisfied,Neutral,Neutral,,
security,Neutral,Neutral,,
send me an email,Neutral,Neutral,,
shining star,Positive,Positive,,
should be paid,Negative,Negative,,
should not be,Negative,Negative,,
should not raise,Negative,Negative,,
should see,Neutral,Negative,,X
should strive,Negative,Negative,,
significant jump,Neutral,Neutral,,
simply,Neutral,Neutral,,
skilled,Positive,Positive,,
slip through the cracks,Negative,Negative,,
slow,Negative,Negative,,
solution-oriented,Positive,Positive,,
solve this,Negative,Negative,,
sorry about,Negative,Negative,,
special requests,Neutral,Neutral,,
speed,Positive,Neutral,,X
still have not received,Negative,Negative,,
still important,Neutral,Negative,,X
straightforward,Positive,Positive,,
subscribers,Neutral,Neutral,,
super,Positive,Positive,,
super competent,Positive,Positive,,
support innovation,Positive,Positive,,
supporting the Cause,Positive,Positive,,
surprised,Negative,Neutral,,X
suspect,Negative,Negative,,
suspects,Negative,Negative,,
take too long,Negative,Negative,,
taken months,Negative,Negative,,
takes many days,Negative,Negative,,
takes more time,Negative,Negative,,
takes too long,Negative,Negative,,
thank you,Positive,Positive,,
thanks,Positive,Positive,,
they find out,Positive,Positive,,
thorough,Positive,Positive,,
timely,Positive,Positive,,
too busy,Negative,Negative,,
too many days,Negative,Negative,,
too much,Negative,Negative,,
unaware,Negative,Negative,,
uncovered,Neutral,Negative,,X
unhelpful,Negative,Negative,,
unnecessarily,Negative,Negative,,
unresolved,Negative,Negative,,
upbeat,Positive,Positive,,
upheaval,Negative,Negative,,
used to come,Negative,Negative,,
vague,Negative,Negative,,
very good,Positive,Positive,,
very helpful,Positive,Positive,,
very satisfied,Positive,,,X
very time consuming,Negative,Negative,,
wanted to circle back,Neutral,Negative,,X
wants to change,Neutral,Neutral,,
warm,Positive,Positive,,
was a subscriber,Neutral,Neutral,,
wasn't efficient,Negative,Negative,,
well-intentioned,Negative,Negative,,
what have you seen,Neutral,Neutral,,
what was going on,Negative,Negative,,
willing,Positive,Positive,,
would benefit by,Negative,Negative,,
would get back to,Negative,Negative,,
would have access,Negative,Negative,,
would have been nice,Negative,Negative,,
would like to add,Neutral,Neutral,,
would like to confirm,Neutral,Neutral,,
would like to know,Negative,Negative,,
would not quite say,Negative,Negative,,
would not say,Negative,Negative,,
wrong spelling,Negative,Negative,,
,,,,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
